[2026-03-28T01:56:08.248Z] GET http://localhost:3001/_next/static/chunks/app/not-found.js → 200 (307ms, ?B)
[2026-03-28T01:56:08.248Z] GET http://localhost:3001/_next/static/chunks/app/(user)/home/page.js → pending (?ms, ?B)
[2026-03-28T01:56:08.362Z] GET http://localhost:3001/hero-video.mp4 → 307 (171ms, ?B)
[2026-03-28T01:56:08.533Z] GET http://localhost:3001/home?login=true&next=%2Fhero-video.mp4 → pending (?ms, ?B)
[2026-03-28T01:56:08.574Z] GET http://localhost:3001/showcase-video.mp4 → pending (?ms, ?B)
[2026-03-28T01:56:08.839Z] GET http://localhost:3001/home?login=true&next=%2Fshowcase-video.mp4 → 200 (199ms, 82771B)
[2026-03-28T01:56:11.324Z] GET http://localhost:3001/__nextjs_font/geist-latin.woff2 → 200 (?ms, ?B)
[2026-03-28T01:56:14.389Z] GET http://localhost:3001/_next/static/chunks/_app-pages-browser_src_features_shared_components_AuthModal_tsx.js → 200 (1ms, 1791458B)
[2026-03-28T01:56:14.389Z] GET http://localhost:5182/api/public/stats → pending (?ms, ?B)
[2026-03-28T01:56:14.389Z] GET http://localhost:5182/api/public/stats → pending (?ms, ?B)
[2026-03-28T01:56:14.389Z] GET http://localhost:5182/api/public/tour-instances/available?page=1&pageSize=6&lang=en → pending (?ms, ?B)
[2026-03-28T01:56:14.389Z] GET http://localhost:5182/api/public/tours/featured?limit=8&lang=en → pending (?ms, ?B)
[2026-03-28T01:56:14.389Z] GET http://localhost:5182/api/public/tours/latest?limit=6&lang=en → pending (?ms, ?B)
[2026-03-28T01:56:14.389Z] GET http://localhost:5182/api/public/reviews/top?limit=6 → pending (?ms, ?B)
